epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,6883.65,1.03879,0.91767,0.6263,0.9599,0.94794,0.71231,0.80825,0.57964,0.97441,0.7066,0.80242,0.45074,0.91522,0.77606,0.55295,0.96589,0.006634,0.006634,0.006634
70,6978.49,1.0361,0.91727,0.62455,0.95245,0.96969,0.71394,0.80937,0.58557,0.97,0.71153,0.79757,0.42849,0.8976,0.93505,0.56105,0.95991,0.0065845,0.0065845,0.0065845
71,7076.09,1.05518,0.92305,0.63273,0.95871,0.94896,0.71149,0.8047,0.58986,0.95107,0.70905,0.78681,0.44924,0.87559,0.82884,0.54796,0.94949,0.006535,0.006535,0.006535
72,7172.38,1.06655,0.93035,0.63319,0.96391,0.94214,0.72616,0.80876,0.58647,0.95009,0.71394,0.79586,0.43729,0.89962,0.82247,0.55597,0.96233,0.0064855,0.0064855,0.0064855
73,7267.67,1.04814,0.928,0.63505,0.95868,0.95269,0.72372,0.80433,0.58729,0.95523,0.71149,0.79008,0.42997,0.89775,0.91369,0.54489,0.9521,0.006436,0.006436,0.006436
74,7362.93,1.03611,0.92246,0.63243,0.9494,0.94888,0.72616,0.80274,0.58162,0.96373,0.71466,0.78894,0.44232,0.88821,0.8157,0.54458,0.95765,0.0063865,0.0063865,0.0063865
75,7459.15,1.03081,0.92005,0.62103,0.95467,0.95463,0.72024,0.80141,0.58578,0.93843,0.7081,0.77602,0.42237,0.89047,0.87672,0.53736,0.94922,0.006337,0.006337,0.006337
76,7554.16,1.03127,0.91503,0.63068,0.95226,0.94999,0.71883,0.81184,0.58406,0.96449,0.70905,0.79992,0.44115,0.90015,0.80239,0.5426,0.9577,0.0062875,0.0062875,0.0062875
77,7648.32,1.03661,0.91097,0.63053,0.95085,0.94367,0.71394,0.80763,0.59028,0.94468,0.70974,0.78605,0.43435,0.87384,0.83804,0.5441,0.94276,0.006238,0.006238,0.006238
78,7744.2,1.03256,0.91737,0.62444,0.95231,0.92263,0.72372,0.81927,0.59875,0.96131,0.71394,0.80192,0.44691,0.8738,0.85182,0.54685,0.95204,0.0061885,0.0061885,0.0061885
79,7837.73,1.02629,0.93899,0.62064,0.95018,0.97163,0.71394,0.80555,0.595,0.97641,0.70838,0.79528,0.44175,0.85993,0.80015,0.52893,0.95151,0.006139,0.006139,0.006139
80,7932.63,1.03598,0.93032,0.62803,0.95537,0.96307,0.70133,0.80527,0.58873,0.9597,0.6987,0.79283,0.44681,0.8697,0.80244,0.54625,0.94926,0.0060895,0.0060895,0.0060895
81,8027.42,1.04295,0.92035,0.62154,0.95059,0.91838,0.72616,0.81224,0.59239,0.96501,0.69927,0.7992,0.43657,0.86992,0.85258,0.52023,0.94368,0.00604,0.00604,0.00604
82,8121.99,1.02578,0.91441,0.61395,0.95015,0.95985,0.7014,0.81936,0.59546,0.96319,0.70384,0.79849,0.43581,0.8731,0.81646,0.53946,0.9604,0.0059905,0.0059905,0.0059905
83,8218.94,1.03684,0.88823,0.61992,0.95565,0.97014,0.71502,0.82031,0.59522,0.96979,0.71394,0.80304,0.43837,0.87824,0.83175,0.53725,0.94643,0.005941,0.005941,0.005941
84,8316.86,1.00586,0.89804,0.60346,0.9476,0.96277,0.71883,0.81929,0.60102,0.96808,0.71883,0.81115,0.44293,0.85334,0.81901,0.53163,0.94691,0.0058915,0.0058915,0.0058915
85,8411.72,1.00308,0.89537,0.60715,0.9423,0.95953,0.71394,0.80846,0.59957,0.95625,0.71149,0.79834,0.44699,0.84296,0.77625,0.5171,0.93351,0.005842,0.005842,0.005842
86,8506.88,1.02981,0.90088,0.61524,0.95335,0.94489,0.72127,0.81272,0.60978,0.95334,0.72616,0.79997,0.45251,0.85529,0.77532,0.52196,0.93407,0.0057925,0.0057925,0.0057925
87,8602.86,1.02157,0.88302,0.62062,0.94949,0.95452,0.71849,0.8151,0.60054,0.95128,0.71604,0.80651,0.44458,0.87472,0.79659,0.53337,0.94775,0.005743,0.005743,0.005743
88,8698.62,1.0309,0.90724,0.60703,0.95281,0.96874,0.71638,0.8129,0.60105,0.96543,0.71394,0.8022,0.43965,0.86121,0.80972,0.5311,0.9391,0.0056935,0.0056935,0.0056935
89,8793.9,0.99466,0.88354,0.59449,0.94489,0.97311,0.70773,0.81833,0.59986,0.97374,0.70416,0.80068,0.4491,0.85933,0.81893,0.52382,0.94126,0.005644,0.005644,0.005644
90,8889.28,1.02288,0.89926,0.61344,0.94878,0.96003,0.70478,0.80606,0.59792,0.98293,0.7039,0.7923,0.44443,0.85703,0.82875,0.51974,0.9521,0.0055945,0.0055945,0.0055945
91,8984.15,0.99082,0.87898,0.59556,0.94596,0.95346,0.72372,0.82363,0.5944,0.95046,0.71638,0.80291,0.43918,0.86499,0.83504,0.51571,0.93884,0.005545,0.005545,0.005545
92,9079.34,1.01217,0.91653,0.61805,0.94257,0.95792,0.7066,0.81562,0.59747,0.96455,0.71149,0.7945,0.42937,0.8529,0.8713,0.51761,0.94342,0.0054955,0.0054955,0.0054955
93,9175.47,0.99997,0.8801,0.60547,0.94586,0.96375,0.71494,0.81506,0.6011,0.9667,0.70988,0.80475,0.44915,0.85045,0.79575,0.52332,0.94463,0.005446,0.005446,0.005446
94,9271.12,1.00852,0.90925,0.60904,0.94901,0.96793,0.71149,0.81141,0.60357,0.96461,0.70905,0.79304,0.42734,0.83925,0.85921,0.51474,0.94837,0.0053965,0.0053965,0.0053965
95,9366.08,0.98698,0.87557,0.60216,0.94208,0.94879,0.7248,0.81554,0.60739,0.95639,0.71149,0.79363,0.43902,0.83455,0.836,0.51519,0.94764,0.005347,0.005347,0.005347
96,9461.04,0.99523,0.88728,0.59643,0.944,0.96914,0.7066,0.82124,0.60913,0.9664,0.69927,0.7973,0.44898,0.85177,0.80582,0.5136,0.95137,0.0052975,0.0052975,0.0052975
97,9556.74,0.9932,0.87508,0.58858,0.94738,0.96368,0.71356,0.81054,0.60448,0.96651,0.7056,0.79776,0.44241,0.83817,0.78109,0.50747,0.94301,0.005248,0.005248,0.005248
98,9652.95,1.01626,0.88887,0.60591,0.94901,0.95746,0.71544,0.8128,0.60223,0.95767,0.71394,0.79713,0.44246,0.84527,0.77598,0.50861,0.93719,0.0051985,0.0051985,0.0051985
99,9748.07,1.00543,0.88411,0.60502,0.94816,0.95457,0.71922,0.8204,0.60782,0.93836,0.70719,0.78894,0.44215,0.84104,0.75294,0.50937,0.93462,0.005149,0.005149,0.005149
100,9852.33,0.99742,0.86735,0.6007,0.94312,0.96779,0.71394,0.81673,0.61037,0.96116,0.70905,0.80014,0.44273,0.82928,0.78663,0.5078,0.93574,0.0050995,0.0050995,0.0050995
101,9948.16,0.97442,0.87676,0.59305,0.93398,0.96707,0.71796,0.81749,0.6093,0.96656,0.70661,0.79429,0.44735,0.83408,0.77023,0.49695,0.93528,0.00505,0.00505,0.00505
102,10043.4,0.98822,0.87,0.59068,0.94468,0.96276,0.71394,0.81738,0.60958,0.97639,0.7066,0.80404,0.45601,0.82673,0.80054,0.50806,0.93414,0.0050005,0.0050005,0.0050005
103,10140.6,0.97913,0.87001,0.59508,0.9394,0.96942,0.71394,0.81835,0.60687,0.97838,0.69927,0.79815,0.44341,0.84121,0.7772,0.50855,0.94144,0.004951,0.004951,0.004951
104,10236.5,1.00079,0.89426,0.59688,0.94419,0.97184,0.71638,0.82525,0.61627,0.96515,0.71149,0.80284,0.45835,0.84093,0.76099,0.49617,0.93793,0.0049015,0.0049015,0.0049015
105,10332.4,0.99807,0.87137,0.59681,0.94507,0.97254,0.71883,0.82016,0.61522,0.96262,0.71149,0.79851,0.44666,0.80801,0.79125,0.49837,0.93116,0.004852,0.004852,0.004852
106,10430.4,0.97127,0.8698,0.58222,0.93678,0.96098,0.72265,0.82003,0.61541,0.95766,0.71888,0.80361,0.46299,0.82002,0.77659,0.49219,0.93015,0.0048025,0.0048025,0.0048025
107,10524.7,0.97854,0.87099,0.59208,0.94357,0.96875,0.71638,0.82038,0.61583,0.98961,0.69857,0.79739,0.45609,0.82997,0.75149,0.48724,0.93435,0.004753,0.004753,0.004753
